Messier Number	NGC/IC Number	Name	Type	Magnitude	Dimensions	RA	Dec
M31	NGC 224	Andromeda Galaxy	Spiral galaxy	3.4	3.17deg x 1deg	00h 42m 44.3s	+41deg 16' 09"
M32	NGC 221	Andromeda Satellite #1	Dwarf elliptical galaxy	8.1	8.7' x 6.5'	00h 42m 41.8s	+40deg 51' 55"
M33	NGC 598	Triangulum Galaxy	Spiral galaxy	5.7	70.8' x 41.7'	01h 33m 50.0s	+30deg 39' 36.7"
M34	NGC 1039	Spiral Cluster	Open cluster	5.5	35'	02h 42.1m	+42deg 46'
M35	NGC 2168	Shoe-Buckle Cluster	Open cluster	5.3	28'	06h 09.1m	+24deg 21'
M36	NGC 1960	Pinwheel Cluster	Open cluster	6.3	12'	05h 36m 12s	+34deg 08' 04"
M37	NGC 2099	Salt and Pepper Cluster	Open cluster	6.2	24'	05h 52m 18s	+32deg 33' 02"
M38	NGC 1912	Starfish Cluster	Open cluster	7.4	21'	05h 28m 42s	+35deg 51' 18"
M39	NGC 7092	Pyramid Cluster	Open cluster	4.6	29'	21h 31m 42s	+48deg 26' 00"
M40		Winnecke 4	Optical Double	8.4	51.7"	12h 22m 12.5s	+58deg 04' 59"
