hip,bayer,con
46509,Tau-1,Hya
46515,Eps,Ant
46651,Psi,Vel
46657,Zet-1,Ant
46734,Zet-2,Ant
46750,Lam,Leo
46771,Xi,Leo
46776,Tau-2,Hya
46853,The,UMa
46928,Zet,Cha
47431,Iot,Hya
47452,Kap,Hya
47508,Omi,Leo
47723,Psi,Leo
47758,The,Ant
47908,Eps,Leo
47956,Nu,Cha
48002,Ups,Car
48319,Ups,UMa
48356,Ups-1,Hya
48402,Phi,UMa
48437,Gam,Sex
48455,Mu,Leo
48774,Phi,Vel
48883,Nu,Leo
48926,Eta,Ant
49029,Pi,Leo
49065,Mu-1,Cha
49326,Mu-2,Cha
49402,Ups-2,Hya
49583,Eta,Leo
49641,Alp,Sex
49669,Alp,Leo
49841,Lam,Hya
50099,Ome,Car
50335,Zet,Leo
50372,Lam,UMa
50414,Eps,Sex
50583,Gam-1,Leo
50801,Mu,UMa
51069,Mu,Hya
51172,Alp,Ant
51233,Bet,LMi
51362,Del,Sex
51376,Del,Ant
51437,Bet,Sex
51614,Phi-1,Hya
51624,Rho,Leo
51839,Gam,Cha
51905,Phi-2,Hya
52085,Phi-3,Hya
52419,The,Car
52595,Del-1,Cha
52633,Del-2,Cha
52727,Mu,Vel
52943,Nu,Hya
53295,Ome,UMa
53502,Iot,Ant
53702,Eta,Oct
53740,Alp,Crt
53910,Bet,UMa
54061,Alp,UMa
54182,Chi,Leo
54204,Chi-1,Hya
54255,Chi-2,Hya
54539,Psi,UMa
54682,Bet,Crt
54742,Psi,Crt
54872,Del,Leo
54879,The,Leo
55084,Phi,Leo
55219,Nu,UMa
55282,Del,Crt
55425,Pi,Cen
55434,Sig,Leo
55598,Lam,Crt
55642,Iot,Leo
55687,Eps,Crt
55705,Gam,Crt
55874,Kap,Crt
55945,Tau,Leo
56211,Lam,Dra
56243,Omi-1,Cen
56250,Omi-2,Cen
56343,Xi,Hya
56561,Lam,Cen
56633,The,Crt
56647,Ups,Leo
56675,Pi,Cha
56779,Ome,Vir
56802,Iot,Crt
56922,Omi,Hya
57283,Zet,Crt
57328,Xi,Vir
57363,Lam,Mus
57380,Nu,Vir
57399,Chi,UMa
57581,Mu,Mus
57632,Bet,Leo
57757,Bet,Vir
57936,Bet,Hya
58001,Gam,UMa
58188,Eta,Crt
58484,Eps,Cha
58590,Pi,Vir
58758,The-1,Cru
58867,The-2,Cru
58905,Kap,Cha
58948,Omi,Vir
59072,Eta,Cru
59196,Del,Cen
59199,Alp,Crv
59316,Eps,Crv
59449,Rho,Cen
59747,Del,Cru
59774,Del,UMa
59803,Gam,Crv
59929,Eps,Mus
60000,Bet,Cha
60009,Zet,Cru
60129,Eta,Vir
60189,Zet,Crv
60260,Eps,Cru
60320,Zet-2,Mus
60329,Zet-1,Mus
60718,Alp-1,Cru
60742,Gam,Com
60823,Sig,Cen
60965,Del,Crv
61084,Gam,Cru
61174,Eta,Crv
61199,Gam,Mus
61281,Kap,Dra
61317,Bet,CVn
61359,Bet,Crv
61585,Alp,Mus
61622,Tau,Cen
61740,Chi,Vir
61932,Gam,Cen
61941,Gam,Vir
61960,Rho,Vir
62268,Iot,Cru
62322,Bet,Mus
62434,Bet,Cru
62931,Kap,Cru
62956,Eps,UMa
62985,Psi,Vir
63003,Mu-1,Cru
63005,Mu-2,Cru
63007,Lam,Cru
63031,Iot,Oct
63090,Del,Vir
63121,Alp-1,CVn
63125,Alp-2,CVn
63608,Eps,Vir
63613,Del,Mus
63724,Xi-1,Cen
64004,Xi-2,Cen
64094,The,Mus
64166,Psi,Hya
64238,The,Vir
64241,Alp,Com
64394,Bet,Com
64661,Eta,Mus
64852,Sig,Vir
64962,Gam,Hya
65109,Iot,Cen
65378,Zet,UMa
65468,Iot-1,Mus
65474,Alp,Vir
65628,Iot-2,Mus
66249,Zet,Vir
66657,Eps,Cen
66753,Kap,Oct
67275,Tau,Boo
67301,Eta,UMa
67459,Ups,Boo
67464,Nu,Cen
67472,Mu,Cen
67927,Eta,Boo
68002,Zet,Cen
68245,Phi,Cen
68282,Ups-1,Cen
68520,Tau,Vir
68523,Ups-2,Cen
68702,Bet,Cen
68756,Alp,Dra
68815,The,Aps
68862,Chi,Cen
68895,Pi,Hya
68933,The,Cen
69427,Kap,Vir
69481,Kap-1,Boo
69483,Kap-2,Boo
69673,Alp,Boo
69701,Iot,Vir
69713,Iot,Boo
69732,Lam,Boo
69896,Eta,Aps
69974,Lam,Vir
69996,Iot,Lup
70012,Ups,Vir
70090,Psi,Cen
70248,Eps,Aps
70497,The,Boo
70574,Tau-1,Lup
70576,Tau-2,Lup
70638,Del,Oct
70755,Phi,Vir
71053,Rho,Boo
71075,Gam,Boo
71121,Sig,Lup
71284,Sig,Boo
71352,Eta,Cen
71536,Rho,Lup
71681,Alp-2,Cen
71683,Alp-1,Cen
71762,Pi-1,Boo
71795,Zet,Boo
71860,Alp,Lup
71908,Alp,Cir
71957,Mu,Vir
72105,Eps,Boo
72125,Omi,Boo
72370,Alp,Aps
72489,Mu,Lib
72603,Alp-1,Lib
72607,Bet,UMi
72622,Alp-2,Lib
72659,Xi,Boo
72683,Omi,Lup
72934,Xi-1,Lib
72965,Zet,Cir
73129,The,Cir
73133,Xi-2,Lib
73273,Bet,Lup
73334,Kap,Cen
